prefix,publisher_by_doiprefix
10.1158,American Association for Cancer Research (AACR)
10.5306,Baishideng Publishing Group Inc.
10.34172,Maad Rayan Publishing Company
10.1113,Wiley
10.23919,Institute of Electrical and Electronics Engineers (IEEE)
10.7872,BioOne
10.2119,The Feinstein Institute for Medical Research (North Shore LIJ Research Institute)
10.3791,MyJove Corporation
10.1172,American Society for Clinical Investigation
10.3828,Liverpool University Press
10.4312,University of Ljubljana
10.4103,Medknow
10.2519,Journal of Orthopaedic & Sports Physical Therapy (JOSPT)
10.19256,Edra SpA
10.5381,AITO - Association Internationale pour les Technologies Objets
10.21014,IMEKO International Measurement Confederation
10.21638,Saint Petersburg State University
10.1085,Rockefeller University Press
10.2238,Instituto Colombiano de Antropologia e Historia (ICANH)
10.1146,Annual Reviews
10.1121,Acoustical Society of America (ASA)
10.5585,University Nove de Julho
10.25088,"Wolfram Research, Inc."
10.4208,Global Science Press
10.14231,Foundation Compositio Mathematica
10.2334,Nihon University School of Dentistry
10.21437,International Speech Communication Association
10.1515,Walter de Gruyter GmbH
10.1126,American Association for the Advancement of Science (AAAS)
10.22394,The Russian Presidential Academy of National Economy and Public Administration
10.13182,American Nuclear Society
10.1302,British Editorial Society of Bone & Joint Surgery
10.1049,Institution of Engineering and Technology (IET)
10.1257,American Economic Association
10.22489,Computing in Cardiology
10.1162,MIT Press - Journals
10.5102,Centro de Ensino Unificado de Brasilia
10.1681,American Society of Nephrology (ASN)
10.3166,Lavoisier
10.4028,"Trans Tech Publications, Ltd."
10.1027,Hogrefe Publishing Group
10.3892,Spandidos Publications
10.1139,Canadian Science Publishing
10.5427,Journal of Singularities
10.7567,Japan Society of Applied Physics
10.3899,The Journal of Rheumatology
10.13164,Brno University of Technology
10.5547,International Association for Energy Economics (IAEE)
10.5038,University of South Florida Libraries
10.5373,Institute of Advanced Scientific Research
10.1089,Mary Ann Liebert Inc
10.1183,European Respiratory Society (ERS)
10.1166,American Scientific Publishers
10.5603,VM Media SP. zo.o VM Group SK
10.3389,Frontiers Media SA
10.5978,International Phototherapy Association
10.1186,Springer Science and Business Media LLC
10.1021,American Chemical Society (ACS)
10.1523,Society for Neuroscience
10.1182,American Society of Hematology
10.1122,Society of Rheology
10.1167,Association for Research in Vision and Ophthalmology (ARVO)
10.19182,CIRAD (Centre de Cooperation Internationale en Recherche Agronomique Pour le Developpement)
10.22364,University of Latvia
10.1116,American Vacuum Society
10.2298,National Library of Serbia
10.1109,Institute of Electrical and Electronics Engineers (IEEE)
10.15184,Antiquity Publications
10.1098,The Royal Society
10.1016,Elsevier BV
10.1111,Wiley
10.4317,"Medicina Oral, S.L."
10.2139,Elsevier BV
10.4337,Edward Elgar Publishing
10.5051,Korean Academy of Periodontology
10.1144,Geological Society of London
10.4048,Korean Breast Cancer Society
10.15252,EMBO
10.17239,ARLE (International Associaton for Research in L1 Education)
10.2337,American Diabetes Association
10.3762,Beilstein Institut
10.6018,Servicio de Publicaciones de la Universidad de Murcia
10.35812,Institutul de Chimie Macromoleculara Petru Poni
10.16995,Open Library of the Humanities
10.1071,CSIRO Publishing
10.7717,PeerJ
10.1289,Environmental Health Perspectives
10.37725,Association Internationale de management strategique (AIMS)
10.1075,John Benjamins Publishing Company
10.1332,Bristol University Press
10.9738,International College of Surgeons
10.1194,American Society for Biochemistry & Molecular Biology (ASBMB)
10.1164,American Thoracic Society
10.1007,Springer Science and Business Media LLC
10.1091,American Society for Cell Biology (ASCB)
10.5601,Polish Society for Magnesium Research
10.2147,Informa UK Limited
10.24033,Societe Mathematique de France
10.2112,Coastal Education and Research Foundation
10.3846,Vilnius Gediminas Technical University
10.1115,ASME International
10.1212,Ovid Technologies (Wolters Kluwer Health)
10.3197,White Horse Press
10.1086,University of Chicago Press
10.1099,Microbiology Society
10.3997,EAGE Publications
10.24187,Institut National de la Statistique et des Etudes Economiques (INSEE)
10.1137,Society for Industrial & Applied Mathematics (SIAM)
10.1152,American Physiological Society
10.18632,"Impact Journals, LLC"
10.1097,Ovid Technologies (Wolters Kluwer Health)
10.1534,Oxford University Press (OUP)
10.5267,Growing Science
10.3233,IOS Press
10.1145,Association for Computing Machinery (ACM)
10.1163,Brill
10.1353,Project Muse
10.2106,Ovid Technologies (Wolters Kluwer Health)
10.4025,Universidade Estadual de Maringa
10.1634,Wiley
10.1148,Radiological Society of North America (RSNA)
10.2197,Information Processing Society of Japan
10.15698,Shared Science Publishers OG
10.3201,Centers for Disease Control and Prevention (CDC)
10.22323,Sissa Medialab Srl
10.1051,EDP Sciences
10.1056,Massachusetts Medical Society
10.15326,COPD Foundation
10.2478,Walter de Gruyter GmbH
10.30802,American Association for Laboratory Animal Science
10.4064,"Institute of Mathematics, Polish Academy of Sciences"
10.2174,Bentham Science Publishers Ltd.
10.5194,Copernicus GmbH
10.1127,Schweizerbart
10.1161,Ovid Technologies (Wolters Kluwer Health)
10.5957,The Society of Naval Architects and Marine Engineers
10.12659,"International Scientific Information, Inc."
10.1001,American Medical Association (AMA)
10.11607,Quintessence Publishing
10.23736,Edizioni Minerva Medica
10.11613,Croatian Society for Medical Biochemistry and Laboratory Medicine
10.1214,Institute of Mathematical Statistics
10.32582,Institute of Oceanography and Fisheries
10.33166,International Association for Educators and Researchers (IAER)
10.1061,American Society of Civil Engineers (ASCE)
10.1128,American Society for Microbiology
10.4254,Baishideng Publishing Group Inc.
10.1253,Japanese Circulation Society
10.1307,Michigan Mathematical Journal
10.1124,American Society for Pharmacology & Experimental Therapeutics (ASPET)
10.1155,Hindawi Limited
10.1242,The Company of Biologists
10.1094,Scientific Societies
10.1074,American Society for Biochemistry & Molecular Biology (ASBMB)
10.1558,Equinox Publishing
10.14393,EDUFU - Editora da Universidade Federal de Uberlandia
10.18653,Association for Computational Linguistics (ACL)
10.1519,Ovid Technologies (Wolters Kluwer Health)
10.1029,American Geophysical Union (AGU)
10.4153,Canadian Mathematical Society
10.2352,Society for Imaging Science & Technology
10.1193,Earthquake Engineering Research Institute
10.1112,Wiley
10.3998,University of Michigan Library
10.24963,International Joint Conferences on Artificial Intelligence
10.1073,Proceedings of the National Academy of Sciences
10.4187,Daedalus Enterprises
10.2113,GeoScienceWorld
10.46298,Centre pour la Communication Scientifique Directe (CCSD)
10.1002,Wiley
10.12738,Egitim Danismanligi ve Arastirmalari (EDAM)
10.5114,Termedia Sp. z.o.o.
10.3726,"Peter Lang, International Academic Publishers"
10.5252,"Museum National d'Histoire Naturelle, Paris, France"
10.4134,The Korean Mathematical Society
10.3727,"Cognizant, LLC"
10.1201,Informa UK Limited
10.1037,American Psychological Association (APA)
10.17323,"National Research University, Higher School of Economics (HSE)"
10.7151,"Faculty of Mathematics, Computer Science and Econometrics, University of Zielona Gora"
10.1175,American Meteorological Society
10.5565,Universitat Autonoma de Barcelona
10.17746,Institute of Archaeology and Ethnography SB RAS
10.1017,Cambridge University Press (CUP)
10.32615,Institute of Experimental Botany
10.25518,University of Liege
10.2514,American Institute of Aeronautics and Astronautics (AIAA)
10.1306,American Association of Petroleum Geologists AAPG/Datapages
10.2343,Geochemical Society of Japan
10.14254,"Centre of Sociological Research, NGO"
10.12693,"Institute of Physics, Polish Academy of Sciences"
10.4149,"AEPress, s.r.o."
10.3842,"SIGMA (Symmetry, Integrability and Geometry: Methods and Application)"
10.1785,Seismological Society of America (SSA)
10.12688,F1000 Research Ltd
10.1287,Institute for Operations Research and the Management Sciences (INFORMS)
10.1136,BMJ
10.1053,Elsevier BV
10.1093,Oxford University Press (OUP)
10.1684,John Libbey Eurotext
10.1142,World Scientific Pub Co Pte Ltd
10.2215,American Society of Nephrology (ASN)
10.1613,AI Access Foundation
10.21136,"Institute of Mathematics, Czech Academy of Sciences"
10.4467,Uniwersytet Jagiellonski - Wydawnictwo Uniwersytetu Jagiellonskiego
10.5486,University of Debrecen/ Debreceni Egyetem
10.2196,JMIR Publications Inc.
10.1245,Springer Science and Business Media LLC
10.5334,"Ubiquity Press, Ltd."
10.2967,Society of Nuclear Medicine
10.7566,Physical Society of Japan
10.3748,Baishideng Publishing Group Inc.
10.26698,Instituto de Astrofisica de Canarias
10.1042,Portland Press Ltd.
10.1063,AIP Publishing
10.17743,Audio Engineering Society
10.21162,Pakistan Journal of Agricultural Sciences
10.15448,EDIPUCRS
10.1364,The Optical Society
10.4324,Informa UK Limited
10.4269,American Society of Tropical Medicine and Hygiene
10.21037,AME Publishing Company
10.7752,Physical Education and Sport Faculty
10.1038,Springer Science and Business Media LLC
10.3986,The Research Center of the Slovenian Academy of Sciences and Arts / Znanstvenoraziskovalni center Slovenske akademije znanosti in umetnosti (ZRC SAZU)
10.35848,IOP Publishing
10.1261,Cold Spring Harbor Laboratory
10.1024,Hogrefe Publishing Group
10.1107,International Union of Crystallography (IUCr)
10.15609,GENES
10.1057,Springer Science and Business Media LLC
10.4204,Open Publishing Association
10.107,IOP Publishing
10.2431,Malaga University
10.30924,"Faculty of Economics, University of Split"
10.23967,"Scipedia, S.L."
10.18848,Common Ground Research Networks
10.211,Society for Sedimentary Geology
10.121,The Endocrine Society
10.234,Medical Journals Sweden AB
10.168,Thomas Telford Ltd.
10.21062,Jan Evangelista Purkyne University in Usti nad Labem
10.431,International Press of Boston
10.3547,Institute for Problems in Mechanical Engineering of the Russian Academy of Sciences - IPME RAS
10.522,Scitepress
10.153,Bioscientifica
10.116,Georg Thieme Verlag KG
10.385,Research Publishing Services
10.1766,International Society for Horticultural Science (ISHS)
10.214,Mathematical Sciences Publishers
10.1192,Royal College of Psychiatrists
10.339,MDPI AG
10.4,OpenEdition
10.2096,ARAN Ediciones
10.1044,American Speech Language Hearing Association
10.109,American Mathematical Society (AMS)
10.584,Philosophy Documentation Center
10.23638,Centre pour la Communication Scientifique Directe (CCSD)
10.24349,Les Amis d'Acarologia
10.159,FapUNIFESP (SciELO)
10.715,Ivyspring International Publisher
10.3419,Academic Conferences International Ltd
10.108,Informa UK Limited
10.521,University of Illinois Libraries
10.375,Szczecinskie Towarzystwo Naukowe
10.20343,International Society for the Scholarship of Teaching and Learning
10.2307,JSTOR
10.2163,Sociedad de Ciencias Aranzadi
10.1484,Brepols Publishers NV
10.5465,Academy of Management
10.114,Springer Science and Business Media LLC
10.21769,"Bio-Protocol, LLC"
10.315,Bernoulli Society for Mathematical Statistics and Probability
10.2482,"ARKAT USA, Inc."
10.2484,University of Porto
10.113,Geological Society of America
10.119,Society of Exploration Geophysicists
10.12,American Society of Clinical Oncology (ASCO)
10.24162,Estudios Irlandeses
10.30757,Institute for Applied and Pure Mathematics (IMPA)
